alias_key,alias_display,code,iso_a3,basis,source,confidence,override
bamian,Bamian,AFG005,AFG,Older English romanization of Bamyan still found in many academic and historical references.,pretraining,medium,False
bamiyan,Bamiyan,AFG005,AFG,"Alternative common English romanization of Bamyan, widely used in Western media and UNESCO references (site of the famous Buddha statues).",pretraining,high,False
daikundi,Daikundi,AFG006,AFG,Common alternative English romanization of Daykundi used in many news and government sources.,pretraining,high,False
helmand,Helmand,AFG011,AFG,"Widely used English name for this province, especially in Western military and news coverage of the Afghanistan war; 'Hilmand' is the WB transliteration but 'Helmand' is far more common in English.",pretraining,high,False
helmand province,Helmand Province,AFG011,AFG,The province is almost universally referred to as 'Helmand Province' in English-language sources.,pretraining,high,False
herat,Herat,AFG012,AFG,Standard English name for this province; 'Hirat' is the WB transliteration but 'Herat' is the universally used English exonym.,pretraining,high,False
herat province,Herat Province,AFG012,AFG,The province is commonly referred to as 'Herat Province' in English sources.,pretraining,high,False
jowzjan,Jowzjan,AFG013,AFG,Common alternative romanization of Jawzjan found in many English-language sources including UN documents.,pretraining,high,False
khowst,Khowst,AFG017,AFG,Alternative English romanization of Khost used in various official documents and maps.,pretraining,medium,False
kondoz,Kondoz,AFG019,AFG,Alternative English romanization of Kunduz found in some academic and historical sources.,pretraining,medium,False
qunduz,Qunduz,AFG019,AFG,Alternative romanization of Kunduz found in some English-language documents.,pretraining,medium,False
paktia,Paktia,AFG026,AFG,"Paktya (WB canonical) is also widely spelled Paktia in English-language sources including UN, NATO, and media reports.",pretraining,high,False
sar-e-pol,Sar-e-Pol,AFG030,AFG,Sar-e-Pul (WB canonical) is also commonly romanized as Sar-e-Pol in English sources.,pretraining,high,False
sari pul,Sari Pul,AFG030,AFG,Alternative English romanization of the province name appearing in some academic and news sources.,pretraining,medium,False
urozgan,Urozgan,AFG032,AFG,Uruzgan (WB canonical) is also spelled Urozgan in numerous English-language military and news sources.,pretraining,high,False
maidan wardak,Maidan Wardak,AFG033,AFG,"The province is frequently referred to as Maidan Wardak in English-language sources, combining both components of the full provincial name.",pretraining,high,False
cuando-cubango,Cuando-Cubango,AGO005,AGO,Hyphenated spelling variant commonly used in English-language sources.,pretraining,medium,False
north cuanza,North Cuanza,AGO006,AGO,"English translation of 'Cuanza Norte', used in some English-language references.",pretraining,medium,False
south cuanza,South Cuanza,AGO007,AGO,"English translation of 'Cuanza Sul', used in some English-language references.",pretraining,medium,False
north lunda,North Lunda,AGO012,AGO,"English translation of 'Lunda Norte', the northern Lunda province.",pretraining,medium,False
south lunda,South Lunda,AGO013,AGO,"English translation of 'Lunda Sul', the southern Lunda province.",pretraining,medium,False
dibra,Dibra,ALB005,ALB,Dibra is the historical and commonly used English alternative name for the Diber district of Albania.,pretraining,medium,False
gjirokastra,Gjirokastra,ALB009,ALB,Gjirokastra is an alternative romanization of Gjirokaster used in English sources and UNESCO documentation.,pretraining,high,False
korca,Korca,ALB014,ALB,Korca (also spelled Korça) is the commonly used English alternative romanization for the Korce district.,pretraining,high,False
korcha,Korcha,ALB014,ALB,Korcha is another English transliteration variant of Korçë/Korce found in some English-language texts.,pretraining,medium,False
kruja,Kruja,ALB015,ALB,"Kruja is the historically common English name for the Kruje district, associated with the castle of Skanderbeg.",pretraining,high,False
lezha,Lezha,ALB019,ALB,Lezha is a common English-language variant spelling for the Lezhe district of Albania.,pretraining,high,False
malesia e madhe,Malesia e Madhe,ALB022,ALB,Alternative spelling without diacritics or capitalization variant used in some English sources.,pretraining,medium,False
saranda,Saranda,ALB030,ALB,"Saranda is the common English spelling of this Albanian coastal city/district, widely used in English travel and geographic sources.",pretraining,high,False
scutari,Scutari,ALB031,ALB,"Scutari is the historical Italian/English exonym for Shkoder, used in older English-language geographic and historical texts.",pretraining,medium,False
shkodra,Shkodra,ALB031,ALB,"Shkodra is an alternative English romanization of Shkoder, both widely used in English-language sources for this northern Albanian city and district.",pretraining,high,False
tirana,Tirana,ALB034,ALB,"Tirana is the standard English spelling of the Albanian capital and its surrounding district, universally used in English-language sources.",pretraining,high,False
valona,Valona,ALB036,ALB,"Valona is the Italian-derived exonym for Vlore historically used in English sources, particularly in historical and diplomatic contexts.",pretraining,medium,False
vlora,Vlora,ALB036,ALB,"Vlora is the common English alternative spelling of Vlore, widely used in English-language geographic and travel sources.",pretraining,high,False
ras al-khaimah,Ras al-Khaimah,ARE005,ARE,"Common English spelling using lowercase 'al-' with hyphen, frequently used in English-language sources instead of the WB 'Ras Al Khaimah' form.",pretraining,high,False
umm al-quwain,Umm al-Quwain,ARE007,ARE,"Standard English romanization with lowercase 'al-' and hyphen, widely used in English sources instead of WB 'Umm AL Quwain'.",pretraining,high,False
autonomous city of buenos aires,Autonomous City of Buenos Aires,ARG002,ARG,"The formal English designation for the Ciudad Autonoma de Buenos Aires (CABA), the federal capital territory of Argentina.",pretraining,high,False
buenos aires city,Buenos Aires City,ARG002,ARG,"Buenos Aires D.f. (Distrito Federal) is the autonomous city capital, commonly referred to in English as Buenos Aires City or the City of Buenos Aires to distinguish it from the province.",pretraining,high,False
city of buenos aires,City of Buenos Aires,ARG002,ARG,The official English name used by the Argentine government and international sources for the autonomous city (Buenos Aires D.f.) as distinct from Buenos Aires Province.,pretraining,high,False
gegharkunik,Gegharkunik,ARM004,ARM,The WB canonical name 'Gergharkunik' is a less common romanization; 'Gegharkunik' is the standard English spelling used in most reference sources.,pretraining,high,False
yerevan city,Yerevan City,ARM011,ARM,Yerevan functions as both the capital city and a separate administrative marz; English sources often call it 'Yerevan City' to distinguish the marz from the city itself.,pretraining,medium,False
styria,Styria,AUT006,AUT,Steiermark is the German name for the Austrian state whose standard English exonym is Styria.,pretraining,high,False
tyrol,Tyrol,AUT007,AUT,Tirol is the German spelling of the Austrian state whose standard English exonym is Tyrol.,pretraining,high,False
vienna,Vienna,AUT009,AUT,Wien is the German name for the Austrian capital city-state whose standard English exonym is Vienna.,pretraining,high,False
agdam,Agdam,AZE004,AZE,Aghdam is the WB canonical spelling but 'Agdam' is a widely used alternative English romanization of this Azerbaijani district.,pretraining,high,False
agstafa,Agstafa,AZE005,AZE,Aghstafa is the WB canonical spelling but 'Agstafa' is a common alternative English romanization used in international sources.,pretraining,high,False
baki,Baki,AZE009,AZE,"Baki is the Azerbaijani-language name for Baku, occasionally used in English-language geographic sources.",pretraining,medium,False
fizuli,Fizuli,AZE015,AZE,Fuzuli is the WB canonical spelling but 'Fizuli' is an alternative romanization used in many English sources for this Azerbaijani district.,pretraining,high,False
qabala,Qabala,AZE016,AZE,Gabala is the WB canonical spelling but 'Qabala' is a widely used alternative romanization found in many English-language sources.,pretraining,high,False
gedabek,Gedabek,AZE017,AZE,"Gadabay is the WB canonical spelling but 'Gedabek' is an alternative English romanization used in some sources, notably for the mining area.",pretraining,medium,False
gyanja,Gyanja,AZE019,AZE,Ganja is the standard English name but 'Gyanja' is an alternative romanization encountered in some English-language texts.,pretraining,medium,False
kazakh,Kazakh,AZE020,AZE,"Gazakh district is sometimes referred to as 'Kazakh' in older English-language sources, reflecting an alternative romanization.",pretraining,medium,False
