code_a,name_a,iso_a,code_b,name_b,iso_b,lake,border_km,has_bridge,crossing,source
CHE016,Sankt Gallen,CHE,DEU001,Baden-Wuerttemberg,DEU,Bodensee,6.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
AUT008,Vorarlberg,AUT,DEU001,Baden-Wuerttemberg,DEU,Bodensee,1.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
JOR009,Madaba,JOR,PSE004,Bethlehem,PSE,Dead Sea,26.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
JOR004,Balqa,JOR,PSE004,Bethlehem,PSE,Dead Sea,4.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
PSE003,Ariha (Jericho),PSE,PSE004,Bethlehem,PSE,Dead Sea,4.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
ISR005,Southern District,ISR,JOR009,Madaba,JOR,Dead Sea,3.9,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
NLD002,Flevoland,NLD,NLD004,Gelderland,NLD,IJsselmeer,46.8,True,Nijkerkerbrug and further randmeren bridges,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
NLD002,Flevoland,NLD,NLD008,Noord-holland,NLD,IJsselmeer,15.3,True,Houtribdijk (N302); Stichtse Brug (A27); Flevolijn rail,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
NLD002,Flevoland,NLD,NLD010,Utrecht,NLD,IJsselmeer,5.0,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
CAN003,Manitoba,CAN,CAN006,Northwest Territories / Territoires du Nord-Ouest,CAN,Kasba Lake,0.4,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
CIV029,Lacs,CIV,CIV032,Sassandra-Marahoué,CIV,Lac de Kossou,40.5,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
CIV032,Sassandra-Marahoué,CIV,CIV034,Vallée du Bandama,CIV,Lac de Kossou,39.3,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
NIC004,Chontales,NIC,NIC017,Rivas,NIC,Lago de Nicaragua,56.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
NIC004,Chontales,NIC,NIC006,Granada,NIC,Lago de Nicaragua,32.2,False,,NE lake filter candidate set; per-pair OSM+web+manual bridge review (2026-06)
