code_a,name_a,iso_a,code_b,name_b,iso_b,water_body,border_km,has_bridge,source
BGR018,Silistra,BGR,ROU012,Călăraşi,ROU,Danube,77.2,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR016,Ruse,BGR,ROU020,Giurgiu,ROU,Danube,72.4,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR013,Pleven,BGR,ROU037,Teleorman,ROU,Danube,51.3,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR010,Montana,BGR,ROU018,Dolj,ROU,Danube,50.6,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR028,Vratca,BGR,ROU018,Dolj,ROU,Danube,43.1,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR013,Pleven,BGR,ROU031,Olt,ROU,Danube,31.1,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR026,Veliko Tarnovo,BGR,ROU037,Teleorman,ROU,Danube,24.0,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BGR016,Ruse,BGR,ROU037,Teleorman,ROU,Danube,17.4,False,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
MOZ008,Niassa,MOZ,TZA025,Ruvuma,TZA,Ruvuma,510.3,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
ALB031,Shkoder,ALB,MNE020,Ulcinj,MNE,Bojana,7.2,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
DEU011,Rheinland-Pfalz,DEU,LUX002,Grevenmacher,LUX,Moselle; Sauer,75.4,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
PRK002,Hamgyong-bukto,PRK,RUS060,Primorskiy Kray,RUS,Tumen,0.5,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
BWA002,Chobe,BWA,ZMB109,Southern,ZMB,Chobe; Zambezi,0.1,True,5km re-screen + LLM ground-truth + adversarial verify (2026-06)
