code_a,name_a,iso_a,code_b,name_b,iso_b,water_body,border_km,has_bridge,source,adjudication,verification_tier
AUT006,Steiermark,AUT,SVN009,Pomurska,SVN,Mur; Kucnica,45.9,True,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
BDI013,Muyinga,BDI,RWA001,East/Iburasirazuba,RWA,Kagera,32.9,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
BIH002,Republika Srpska,BIH,HRV014,Sisak-moslavina,HRV,Una; Sava,133.7,True,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
BLZ003,Corozal,BLZ,MEX023,Quintana Roo,MEX,Rio Hondo,50.1,True,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
BOL006,Pando,BOL,BRA026,Rondonia,BRA,Madeira; Abuna,366.2,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
BRA027,Roraima,BRA,GUY008,Potaro/siparuni (region N°8),GUY,Ireng,198.4,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
CIV025,Bas-Sassandra,CIV,LBR006,Grand Gedeh,LBR,Cavally,18.7,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
CIV025,Bas-Sassandra,CIV,LBR010,Maryland,LBR,Cavally,1.8,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
CIV025,Bas-Sassandra,CIV,LBR013,River Gee,LBR,Cavally,142.0,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
CMR009,Sud,CMR,GNQ006,Litoral,GNQ,Ntem (Campo),47.2,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
COG012,Sangha,COG,GAB006,Ogooue-Ivindo,GAB,Djoua,201.7,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
DEU004,Brandenburg,DEU,POL005,Lubuskie,POL,Oder; Neisse,150.1,True,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
GEO005,Kakheti,GEO,AZE018,Gakh,AZE,Alazani,60.2,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
GIN008,Nzerekore,GIN,SLE001,Eastern,SLE,Meli; Moa/Makona,195.9,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
GUF001,French Guiana,GUF,SUR009,Sipaliwini,SUR,Maroni; Lawa; Litani,459.4,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
LBR005,Grand Cape Mount,LBR,SLE001,Eastern,SLE,Mano; Morro,44.2,False,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
LBR005,Grand Cape Mount,LBR,SLE004,Southern,SLE,Mano,79.3,True,"HydroRIVERS full-database cross-check (all 1,800 cross-border edges, geodesic 500 m buffer, discharge tiers) + two-stage LLM ground-truth + human map verification (2026-07-02); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
ARG008,Entre Rios,ARG,URY012,Rio Negro,URY,Uruguay River,81.0,True,"HydroRIVERS geodesic 500 m cross-check - recovered by the geodesic metric (E-W anisotropy fix, planar frac_ge100 0.46 -> geodesic 0.54) + two-stage LLM ground-truth + human map verification (2026-07-06); crossing: Puente Libertador General San Martin (Puerto Unzue <-> Fray Bentos); wu1 water-unification re-adjudication 2026-07-25 (cross-vendor two-pass), verdict unchanged",cross-vendor,A
