code_a,name_a,iso_a,code_b,name_b,iso_b,water_type,water_body,has_bridge,adds_edge,border_km,adjudication,verification_tier,source
CHN019,Nei Mongol Zizhiqu,CHN,RUS014,Chitinskaya Oblast,RUS,river,Argun’; Hailar; Heilong Jiang,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); crossings: yes; 呼古尔推桥; 苏斯落瓦桥
BRA004,Amazonas,BRA,PER016,Loreto,PER,river,Amazonas; Javari,False,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; cw1 crossing screen on the ground 2026-09-24: bridge ways within 100 m of both units, none a road or rail way (nearest: Beco Cinco de Setembro (highway=footway, OSM way 1178459516)); nearest road or rail bridge way 958 m; GPT-5.6 Sol adversarial recheck no (No qualifying fixed crossing; Beco Cinco de Setembro is a footbridge)"
GUY004,East Berbice/corentyne (region N°6),GUY,SUR009,Sipaliwini,SUR,river,Corantijn; Courantyne; Kabalebo,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
USA044,Texas,USA,MEX028,Tamaulipas,MEX,river,Rio Grande; San Juan,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Anzalduas International Bridge; Carril SENTRI; Free Trade In); crossings: Anzalduas International Bridge; Carril SENTRI; FM 493; Free Trade International Bridge; Gateway International Bridge
CAF004,Haut-Oubangui,CAF,COD012,Bas-Uélé,COD,river,Bomu; Chinko; Uele,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
FIN002,Lapland,FIN,SWE010,Norrbottens Laen,SWE,river,Muonio; Tornelven,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (404; BD 733; E 4; E 45; Finlandsvägen); crossings: Finlandsvägen; Gränsbron; Handolinin silta; Kustaa II Aadolfin puistokatu; Ragnar Lassinanttis väg
ZAF005,Limpopo,ZAF,BWA001,Central,BWA,river,Limpopo; Marico; Mogalakwena,True,False,,cross-vendor,C,"osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; GPT-5.6 Sol adversarial recheck yes (Grobler's Bridge / Martin's Drift), 12 m from the shared arc; crossings: Platjanbrug; Road through Zanzibar border crossing; yes"
ETH006,Gambela,ETH,SSD006,Pibor Administrative Area,SSD,river,Akobo,True,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; cw1 crossing screen on the ground 2026-09-24: open bridge way within 100 m of both units: unnamed (highway=tertiary, OSM way 332289980); GPT-5.6 Sol adversarial recheck yes (Raad Bailey Bridge), 16 m from the shared arc, 16 m from the farther unit; maintainer map ruling 2026-09-24: flip accepted (False -> True); crossings: Raad Bailey Bridge"
ZMB104,Luapula,ZMB,COD014,Haut-Katanga,COD,river,Luapula; Luvua,True,False,,cross-vendor,C,"osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units; GPT-5.6 Sol adversarial recheck yes (Levy Mwanawasa / Chembe Bridge), 2 m from the shared arc; crossings: Chembe Bridge; yes"
CHN017,Jilin Sheng,CHN,PRK002,Hamgyong-bukto,PRK,river,Tumen,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes; 丹阿线; 백무선; 함북선; 회령탄광선); crossings: yes; 丹阿线; 图们江大桥/두만강대교; 남양국경선 南阳国境线; 도문대교/图们大桥
BRA012,Mato Grosso Do Sul,BRA,PRY001,Alto Paraguay,PRY,river,Paraná,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COD013,Équateur,COD,COG007,Likouala,COG,river,Ubangi,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MEX007,Chiapas,MEX,GTM012,Petén,GTM,river,Chixoy; Usumacinta,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ZMB109,Southern,ZMB,ZWE008,Matabeleland North,ZWE,river,Chobe; Gwayi; Zambezi,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Kazungula Bridge; yes); crossings: Kazungula Bridge; Livingstone Way; Victoria Falls Bridge; yes
CHN017,Jilin Sheng,CHN,PRK001,Chagang-do,PRK,river,Yalu,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (5; yes; 梅集线; 북부내륙선); crossings: yes; 下青线; 梅集线; 集安鸭绿江国境铁路大桥/지안압록강국경 철도대교; 북부내륙선
CHN011,Heilongjiang Sheng,CHN,RUS030,Khabarovskiy Kray,RUS,river,Amur; Bikin; Ussuri,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MRT005,Gorgol,MRT,SEN014,Matam,SEN,river,Sénégal,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); GPT-5.6 Sol adversarial recheck no
ZMB109,Southern,ZMB,ZWE011,Area under National Administration,ZWE,river,Zambezi; Kariba Reservoir,False,False,,cross-vendor,C,recheck2:tripoint-review:Kariba lake-zone tripoint; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
CIV031,Montagnes,CIV,LBR012,Nimba,LBR,river,Cess,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (yes); crossings: yes
GRC001,Anatoliki Makedonia Kai Thraki,GRC,TUR027,Edirne,TUR,river,Evros,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (D-110; Tarihî Maraş Köprüsü; viaduct; yes; ΕΟ2); crossings: Tarihî Maraş Köprüsü; viaduct; yes; İstanbul – Pythion demiryolu; Σιδηρόδρομος Κωνσταντινούπολης - Πυθίου
HND015,Olancho,HND,NIC007,Jinotega,NIC,river,Coco,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
CAF003,Fertit,CAF,TCD018,Salamat,TCD,river,Aoukalé; Bahr Aouk,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
COG012,Sangha,COG,GAB009,Woleu-Ntem,GAB,river,Aïna,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
MOZ001,Cabo Delgado,MOZ,TZA020,Mtwara,TZA,river,Ruvuma,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (Unity 1); crossings: Unity 1
TKM003,Chardzhou,TKM,UZB007,Khorezm,UZB,river,Amu Darya,True,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (D213e; bridge; yes; Трубопроводный висячий мост через Амудар); crossings: bridge; yes; Трубопроводный висячий мост через Амударью
LAO003,Bolikhamxai,LAO,THA034,Nong Khai,THA,river,Mekong,False,False,,cross-vendor,C,"verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen bridge way in both units (5th Friendship Bridge); GPT-5.6 Sol adversarial recheck yes (Fifth Thai–Lao Friendship Bridge), 46 m from the shared arc; maintainer map ruling 2026-09-16: shipped flag kept"
COL025,Putumayo,COL,PER016,Loreto,PER,river,Putumayo,False,False,,cross-vendor,C,osm; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
ZAF005,Limpopo,ZAF,BWA005,Kgatleng,BWA,river,Limpopo; Marico; Notwani,False,False,,cross-vendor,C,verified:no-open-bridge; bu1 crossing unification 2026-09-16: unified OSM screen no bridge way in both units
