code_a,name_a,iso_a,code_b,name_b,iso_b,water_type,water_body,border_km,has_bridge,source
CHE011,Jura,CHE,CHE013,Neuchatel,CHE,lake,Lac de Biaufond,0.9,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
DEU004,Brandenburg,DEU,DEU009,Niedersachsen,DEU,river,Elbe,3.7,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
GMB003,Central River South,GMB,GMB006,North Bank,GMB,river,River Gambia,3.4,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
GMB005,Lower River,GMB,GMB006,North Bank,GMB,river,River Gambia,2.3,True,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify + adversarial-recheck, geocode-validated"
GMB005,Lower River,GMB,GMB008,West Coast,GMB,river,Bintang Bolon (Bintang Bolong) — a major tidal tributary/creek of the River Gamb,10.0,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified; bridge: osm-screen + agent-verify (agree), geocode-validated"
KHM006,Kampong Thom,KHM,KHM018,Pursat,KHM,lake,Tonle Sap Lake,1.5,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
MDA006,Cahul,MDA,ROU039,Tulcea,ROU,river,Danube,0.9,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
ROU019,Galaţi,ROU,ROU039,Tulcea,ROU,river,Danube River,11.2,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
SLE004,Southern,SLE,SLE005,Western Area,SLE,river,"Ribbi River tidal estuary (draining into Yawri Bay, between Western Area Rural's",1.5,False,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified; bridge: osm-screen + agent-verify (agree), geocode-validated"
VNM007,Ben Tre,VNM,VNM058,Tien Giang,VNM,river,Tien River (Sông Tiền) / Cửa Đại-Mỹ Tho distributary channel,9.6,True,"2026-07 water-screen rebuild: Codex research + Sonnet-5 adversarial judgment; human-map-verified (class-2, 2026-07-11); bridge: osm-screen + agent-verify (agree), geocode-validated"
